{'timestamp': 1745404266.8741772, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.455, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 638568, 'bytes_retrans': 14480, 'bytes_acked': 606713, 'segs_out': 443, 'segs_in': 178, 'data_segs_out': 441, 'lastrcv': 744, 'delivered': 421, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404267.9919887, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.912, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 13, 'bytes_sent': 2321144, 'bytes_retrans': 26064, 'bytes_acked': 2274809, 'segs_out': 1605, 'segs_in': 547, 'data_segs_out': 1603, 'lastrcv': 1868, 'delivered': 1573, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404269.119714, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 16.919, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 16, 'bytes_sent': 3756112, 'bytes_retrans': 39096, 'bytes_acked': 3695297, 'segs_out': 2596, 'segs_in': 839, 'data_segs_out': 2594, 'lastrcv': 2988, 'delivered': 2554, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404270.2872863, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.593, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 7, 'bytes_sent': 5629824, 'bytes_retrans': 59368, 'bytes_acked': 5558873, 'segs_out': 3890, 'segs_in': 1223, 'data_segs_out': 3888, 'lastrcv': 4180, 'delivered': 3841, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404271.3959222, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 14.184, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 11, 'bytes_sent': 7135744, 'bytes_retrans': 78192, 'bytes_acked': 7030041, 'segs_out': 4930, 'segs_in': 1618, 'data_segs_out': 4928, 'lastrcv': 5280, 'delivered': 4861, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404272.553988, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.45, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 12, 'bytes_sent': 8685104, 'bytes_retrans': 89776, 'bytes_acked': 8572161, 'segs_out': 6000, 'segs_in': 1961, 'data_segs_out': 5998, 'lastrcv': 6428, 'delivered': 5922, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404273.656209, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 16.311, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 9, 'bytes_sent': 9789928, 'bytes_retrans': 112944, 'bytes_acked': 9659609, 'segs_out': 6763, 'segs_in': 2234, 'data_segs_out': 6761, 'lastrcv': 7552, 'delivered': 6673, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404274.7417557, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 17.434, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 15, 'bytes_sent': 11274128, 'bytes_retrans': 131768, 'bytes_acked': 11114849, 'segs_out': 7788, 'segs_in': 2607, 'data_segs_out': 7786, 'lastrcv': 8628, 'delivered': 7678, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404275.8985133, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 228, 'rtt': 24.153, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 11, 'bytes_sent': 13189832, 'bytes_retrans': 146248, 'bytes_acked': 13017521, 'segs_out': 9112, 'segs_in': 2976, 'data_segs_out': 9109, 'lastrcv': 9784, 'delivered': 8992, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404277.1166925, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.282, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 17, 'ssthresh': 12, 'bytes_sent': 15115672, 'bytes_retrans': 166520, 'bytes_acked': 14925985, 'segs_out': 10442, 'segs_in': 3405, 'data_segs_out': 10439, 'lastrcv': 11016, 'delivered': 10310, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404278.2122371, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 13.04, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 16886576, 'bytes_retrans': 188240, 'bytes_acked': 16683857, 'segs_out': 11665, 'segs_in': 3803, 'data_segs_out': 11662, 'lastrcv': 12108, 'delivered': 11524, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
