{'timestamp': 1745404782.6926174, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 1316, 'rtt': 258.01, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 40, 'ssthresh': 0, 'bytes_sent': 85432, 'bytes_retrans': 0, 'bytes_acked': 43441, 'segs_out': 62, 'segs_in': 17, 'data_segs_out': 60, 'lastrcv': 496, 'delivered': 31, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404783.812696, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 712, 'rtt': 260.132, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 713, 'ssthresh': 0, 'bytes_sent': 2051816, 'bytes_retrans': 0, 'bytes_acked': 1019393, 'segs_out': 1421, 'segs_in': 337, 'data_segs_out': 1419, 'lastrcv': 1592, 'delivered': 707, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404785.0073566, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 616, 'rtt': 334.977, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1390, 'ssthresh': 1172, 'bytes_sent': 10014368, 'bytes_retrans': 0, 'bytes_acked': 8003097, 'segs_out': 6922, 'segs_in': 1180, 'data_segs_out': 6918, 'lastrcv': 2764, 'delivered': 5530, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404786.1250622, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 616, 'rtt': 382.187, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1612, 'ssthresh': 1172, 'bytes_sent': 16773632, 'bytes_retrans': 0, 'bytes_acked': 14439457, 'segs_out': 11591, 'segs_in': 1756, 'data_segs_out': 11586, 'lastrcv': 3924, 'delivered': 9975, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404787.200258, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 676, 'rtt': 458.014, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1820, 'ssthresh': 1172, 'bytes_sent': 23076776, 'bytes_retrans': 0, 'bytes_acked': 20445761, 'segs_out': 15946, 'segs_in': 2348, 'data_segs_out': 15939, 'lastrcv': 5004, 'delivered': 14123, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404788.4556296, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 760, 'rtt': 549.82, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 2030, 'ssthresh': 1172, 'bytes_sent': 29485624, 'bytes_retrans': 0, 'bytes_acked': 26547633, 'segs_out': 20373, 'segs_in': 2945, 'data_segs_out': 20365, 'lastrcv': 6204, 'delivered': 18337, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404789.6327069, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 672, 'rtt': 466.009, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 2262, 'ssthresh': 1172, 'bytes_sent': 36535936, 'bytes_retrans': 0, 'bytes_acked': 33264905, 'segs_out': 25243, 'segs_in': 3516, 'data_segs_out': 25234, 'lastrcv': 7404, 'delivered': 22976, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404791.0549283, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 832, 'rtt': 627.302, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 2491, 'ssthresh': 1172, 'bytes_sent': 44722928, 'bytes_retrans': 0, 'bytes_acked': 41060937, 'segs_out': 30899, 'segs_in': 4250, 'data_segs_out': 30888, 'lastrcv': 8800, 'delivered': 28360, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404792.1575837, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 864, 'rtt': 661.458, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 2767, 'ssthresh': 1172, 'bytes_sent': 51900664, 'bytes_retrans': 0, 'bytes_acked': 47898393, 'segs_out': 35857, 'segs_in': 4865, 'data_segs_out': 35845, 'lastrcv': 9944, 'delivered': 33082, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404793.2807562, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 896, 'rtt': 694.979, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 2992, 'ssthresh': 1172, 'bytes_sent': 58755496, 'bytes_retrans': 0, 'bytes_acked': 54425977, 'segs_out': 40592, 'segs_in': 5441, 'data_segs_out': 40579, 'lastrcv': 11072, 'delivered': 37590, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404794.3903644, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 1012, 'rtt': 807.542, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 3191, 'ssthresh': 1172, 'bytes_sent': 64790760, 'bytes_retrans': 0, 'bytes_acked': 60170193, 'segs_out': 44761, 'segs_in': 5896, 'data_segs_out': 44747, 'lastrcv': 12168, 'delivered': 41557, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
