{'timestamp': 1745404677.7993994, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 1432, 'rtt': 326.471, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 0, 'bytes_sent': 43440, 'bytes_retrans': 0, 'bytes_acked': 14481, 'segs_out': 32, 'segs_in': 11, 'data_segs_out': 30, 'lastrcv': 436, 'delivered': 11, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404678.9190953, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 700, 'rtt': 259.631, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 566, 'ssthresh': 0, 'bytes_sent': 1624656, 'bytes_retrans': 0, 'bytes_acked': 805089, 'segs_out': 1124, 'segs_in': 271, 'data_segs_out': 1122, 'lastrcv': 1536, 'delivered': 557, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404680.0694625, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 696, 'rtt': 393.988, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1602, 'ssthresh': 1502, 'bytes_sent': 9391728, 'bytes_retrans': 4344, 'bytes_acked': 7069137, 'segs_out': 6489, 'segs_in': 957, 'data_segs_out': 6486, 'lastrcv': 2684, 'delivered': 4883, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404681.1670022, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 700, 'rtt': 453.864, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1603, 'ssthresh': 1502, 'bytes_sent': 15075128, 'bytes_retrans': 4344, 'bytes_acked': 12749641, 'segs_out': 10416, 'segs_in': 1475, 'data_segs_out': 10411, 'lastrcv': 3804, 'delivered': 8807, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404682.2717447, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 844, 'rtt': 619.315, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1607, 'ssthresh': 1502, 'bytes_sent': 19812984, 'bytes_retrans': 4344, 'bytes_acked': 17481705, 'segs_out': 13689, 'segs_in': 1900, 'data_segs_out': 13683, 'lastrcv': 4896, 'delivered': 12075, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404683.3455546, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 676, 'rtt': 460.214, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1618, 'ssthresh': 1502, 'bytes_sent': 24920080, 'bytes_retrans': 4344, 'bytes_acked': 22575769, 'segs_out': 17217, 'segs_in': 2519, 'data_segs_out': 17210, 'lastrcv': 5988, 'delivered': 15593, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404684.4815247, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 772, 'rtt': 562.529, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1638, 'ssthresh': 1502, 'bytes_sent': 29647800, 'bytes_retrans': 4344, 'bytes_acked': 27271633, 'segs_out': 20484, 'segs_in': 2990, 'data_segs_out': 20475, 'lastrcv': 7096, 'delivered': 18836, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404685.557488, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 680, 'rtt': 472.041, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1672, 'ssthresh': 1502, 'bytes_sent': 34747656, 'bytes_retrans': 4344, 'bytes_acked': 32323705, 'segs_out': 24007, 'segs_in': 3527, 'data_segs_out': 23997, 'lastrcv': 8196, 'delivered': 22325, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404686.766755, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 784, 'rtt': 578.754, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1722, 'ssthresh': 1502, 'bytes_sent': 40047336, 'bytes_retrans': 4344, 'bytes_acked': 37549537, 'segs_out': 27669, 'segs_in': 4046, 'data_segs_out': 27657, 'lastrcv': 9388, 'delivered': 25934, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404687.8601553, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 724, 'rtt': 521.367, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1796, 'ssthresh': 1502, 'bytes_sent': 45144296, 'bytes_retrans': 4344, 'bytes_acked': 42540793, 'segs_out': 31190, 'segs_in': 4623, 'data_segs_out': 31177, 'lastrcv': 10504, 'delivered': 29381, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404688.9862533, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 652, 'rtt': 447.534, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 1899, 'ssthresh': 1502, 'bytes_sent': 51541560, 'bytes_retrans': 4344, 'bytes_acked': 48788913, 'segs_out': 35609, 'segs_in': 5300, 'data_segs_out': 35595, 'lastrcv': 11628, 'delivered': 33696, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
