{'timestamp': 1745349279.7310238, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 724, 'rtt': 376.213, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 41, 'ssthresh': 39, 'bytes_sent': 166520, 'bytes_retrans': 0, 'bytes_acked': 107153, 'segs_out': 117, 'segs_in': 44, 'data_segs_out': 115, 'lastrcv': 908, 'delivered': 75, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349280.7382524, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 812, 'rtt': 502.216, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 45, 'ssthresh': 39, 'bytes_sent': 292496, 'bytes_retrans': 0, 'bytes_acked': 227337, 'segs_out': 204, 'segs_in': 85, 'data_segs_out': 202, 'lastrcv': 1916, 'delivered': 158, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349281.7421947, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 812, 'rtt': 549.515, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 49, 'ssthresh': 39, 'bytes_sent': 415576, 'bytes_retrans': 0, 'bytes_acked': 343177, 'segs_out': 289, 'segs_in': 122, 'data_segs_out': 287, 'lastrcv': 2920, 'delivered': 240, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349282.74863, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 700, 'rtt': 463.613, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 37, 'ssthresh': 34, 'bytes_sent': 521280, 'bytes_retrans': 2896, 'bytes_acked': 464809, 'segs_out': 362, 'segs_in': 168, 'data_segs_out': 360, 'lastrcv': 3928, 'delivered': 322, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349283.7542808, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 700, 'rtt': 480.692, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 44, 'ssthresh': 34, 'bytes_sent': 653048, 'bytes_retrans': 2896, 'bytes_acked': 586441, 'segs_out': 453, 'segs_in': 216, 'data_segs_out': 451, 'lastrcv': 4932, 'delivered': 406, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349284.7600677, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 764, 'rtt': 551.98, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 48, 'ssthresh': 34, 'bytes_sent': 780472, 'bytes_retrans': 2896, 'bytes_acked': 708073, 'segs_out': 541, 'segs_in': 260, 'data_segs_out': 539, 'lastrcv': 5940, 'delivered': 490, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349285.7657995, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 796, 'rtt': 584.662, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 49, 'ssthresh': 34, 'bytes_sent': 900656, 'bytes_retrans': 2896, 'bytes_acked': 826809, 'segs_out': 624, 'segs_in': 300, 'data_segs_out': 622, 'lastrcv': 6944, 'delivered': 572, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349286.771189, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 800, 'rtt': 592.262, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 49, 'ssthresh': 34, 'bytes_sent': 1020840, 'bytes_retrans': 2896, 'bytes_acked': 946993, 'segs_out': 707, 'segs_in': 341, 'data_segs_out': 705, 'lastrcv': 7948, 'delivered': 655, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349287.7775006, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 780, 'rtt': 572.817, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 35, 'ssthresh': 35, 'bytes_sent': 1125096, 'bytes_retrans': 5792, 'bytes_acked': 1009257, 'segs_out': 779, 'segs_in': 383, 'data_segs_out': 777, 'lastrcv': 8956, 'delivered': 739, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349288.783763, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 648, 'rtt': 444.704, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 42, 'ssthresh': 35, 'bytes_sent': 1253968, 'bytes_retrans': 5792, 'bytes_acked': 1187361, 'segs_out': 868, 'segs_in': 425, 'data_segs_out': 866, 'lastrcv': 9964, 'delivered': 821, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349289.7883685, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 728, 'rtt': 526.384, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 47, 'ssthresh': 35, 'bytes_sent': 1381392, 'bytes_retrans': 5792, 'bytes_acked': 1307545, 'segs_out': 956, 'segs_in': 465, 'data_segs_out': 954, 'lastrcv': 10968, 'delivered': 904, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
