rto,rtt,cwnd,ssthresh,bytes_acked,segs_out,segs_in,data_segs_out,lastrcv,loss_ratio,tcp_type,timestamp
1.0,1.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0010683760683760685,0.003670686942842159,0.4090909090909091,0.00011837121212121212,0.0015245929451467508,0.0015435023657578539,0.0017963045320042834,0.0015423691880260399,0.0012257631676174446,0.04716909882934521,1.0,0.0010660980810234541
0.002136752136752137,0.008696356817886088,0.13636363636363635,2.3674242424242424e-05,0.0020954555667129777,0.0021075616861855402,0.002407495285632297,0.0021064291486212875,0.0020740606372634672,0.07229648626560585,1.0,0.0021321961620469083
0.0010683760683760685,0.003327850548265521,0.36363636363636365,0.0002840909090909091,0.0030881604467859745,0.0031312669317102347,0.0034410536332308886,0.0031301355559792627,0.0031277634690564824,0.04545397851499351,1.0,0.0031982942430703624
0.003205128205128205,0.009017376350989667,0.22727272727272727,0.00023674242424242425,0.004221861516522919,0.004237821936573402,0.0045267868012611396,0.004236691816704346,0.004228149337701087,0.035152763067431834,1.0,0.0042643923240938165
0.0010683760683760685,0.004648549841009622,0.22727272727272727,0.00014204545454545454,0.005330343755588263,0.0053466467978568015,0.005634880606619245,0.0053455179364257895,0.005277850766335395,0.02905871597005218,1.0,0.005330490405117271
0.003205128205128205,0.011274642339827225,0.3409090909090909,2.3674242424242424e-05,0.005832427748050126,0.005859634348829265,0.006161597841453144,0.0058585060696029565,0.006183501681256227,0.03883855807012996,1.0,0.006396588486140725
0.003205128205128205,0.009370342002678802,0.22727272727272727,0.0001893939393939394,0.006497287829392318,0.0065281070645876295,0.006864715659651224,0.006526979544030725,0.007123831423552526,0.04923730172753727,1.0,0.007462686567164179
0.002136752136752137,0.007255664787040164,0.09090909090909091,9.46969696969697e-05,0.00747967591509966,0.00751549460738861,0.007836161125783553,0.007514368207446953,0.008122848412176536,0.048837737542477694,1.0,0.008528784648187633
0.0010683760683760685,0.0036722452900902368,0.06818181818181818,7.102272727272727e-05,0.008353164504725091,0.008382579759917286,0.008747978225708273,0.008381454344056146,0.009156544228176014,0.04773468618261974,1.0,0.009594882729211088
0.002136752136752137,0.006124304684937249,0.3409090909090909,0.00026041666666666666,0.009216336299984869,0.00926214912275724,0.009634950173046488,0.009261024705145317,0.010232921677868373,0.04662573165370712,1.0,0.010660980810234541
0.0010683760683760685,0.004923598130294974,0.11363636363636363,0.00011837121212121212,0.010109312167856536,0.0101632821215894,0.010581550486592314,0.010162158726699897,0.011162581011741451,0.04664877708218904,1.0,0.011727078891257996
0.0010683760683760685,0.004687508522211511,0.22727272727272727,0.00016571969696969698,0.01069163789427349,0.010740960580538477,0.011170380602892473,0.0107398378412733,0.012100243151931945,0.05021175315871067,1.0,0.01279317697228145
0.003205128205128205,0.010376255151311622,0.45454545454545453,0.0004498106060606061,0.012240303359606769,0.012294677300187377,0.01266108975808275,0.012293556324281136,0.013268652874274579,0.03826349250598206,1.0,0.013859275053304905
0.0010683760683760685,0.00362471569902393,0.22727272727272727,0.00023674242424242425,0.013191741062217148,0.013236667714583714,0.013625081678439128,0.013235547807770181,0.014224988229205707,0.0383896398866558,1.0,0.014925373134328358
0.002136752136752137,0.007385007608630439,0.13636363636363635,9.46969696969697e-05,0.013932257635574142,0.013977775835789507,0.014405219469655372,0.013976656770081442,0.015157315165184591,0.03972040184956616,1.0,0.015991471215351813
0.0010683760683760685,0.003048127217235943,0.3409090909090909,0.0001893939393939394,0.014927255136617284,0.014977647588901764,0.015428839756219363,0.014976529657977647,0.01614432794433248,0.03398706105423106,0.0,0.017057569296375266
0.002136752136752137,0.00600976616220369,0.36363636363636365,0.00011837121212121212,0.01578928062139199,0.01584473274143044,0.01633320331036813,0.01584361579458684,0.017307402462463504,0.035030257795715614,0.0,0.01812366737739872
0.002136752136752137,0.006841923592676078,0.36363636363636365,0.0003787878787878788,0.0173196051189641,0.017376885825087136,0.017883540831766017,0.017375770617129263,0.018778585023815016,0.03332373742587087,0.0,0.019189765458422176
0.0010683760683760685,0.004097674088814885,0.3409090909090909,0.0002130681818181818,0.019001242600565817,0.019053174791428568,0.019533258963509926,0.019052061485940495,0.020164404317780767,0.027432163283097222,0.0,0.02025586353944563
0.0010683760683760685,0.0057378345674144945,0.3181818181818182,0.00011837121212121212,0.019543447460005227,0.019600210188704514,0.020084821350930326,0.019599097504063048,0.02103404260427323,0.030159674321526254,0.0,0.021321961620469083
0.002136752136752137,0.007706806315358056,0.20454545454545456,0.00011837121212121212,0.02016245512194451,0.020216476206797538,0.020718372741886194,0.020215364221574557,0.021796976806533492,0.030973107891361346,0.0,0.022388059701492536
0.0010683760683760685,0.005062291035373703,0.09090909090909091,4.734848484848485e-05,0.02099696915507747,0.02104497380018227,0.021565592445086,0.021043862755245644,0.02272796994145947,0.030303039860418383,0.0,0.023454157782515993
0.0010683760683760685,0.004482585859089567,0.22727272727272727,0.00011837121212121212,0.021873896676158116,0.021930217804072803,0.02247492502975207,0.02192910776382571,0.023742992542718312,0.029320853140263687,0.0,0.024520255863539446
0.0010683760683760685,0.005704330101580863,0.13636363636363635,0.00011837121212121212,0.022670582463283673,0.022724667551154053,0.023302268610882675,0.02272355841255141,0.024734006725024908,0.029537733751667898,0.0,0.0255863539445629
0.0010683760683760685,0.004024431768155329,0.29545454545454547,0.0001893939393939394,0.024282295005295954,0.024335130681308752,0.024907265467970872,0.024334023370468225,0.026034462751604898,0.02397752321981563,0.0,0.026652452025586353
